"Array"	"Plant"	"Total Pollen Count"
3	1	120
3	3	250
3	5	2910
3	7	370
3	8	2940
3	13	463.333333333333
3	18	50
3	20	2210
3	24	100
3	27	260
4	1	4770
4	2	80
4	3	40
4	4	400
4	5	50
4	6	500
4	7	140
4	8	120
4	9	10
4	10	50
5	1	390
5	2	210
5	3	160
5	4	410
5	5	60
5	6	70
5	7	23.3333333333333
5	8	290
6	1	330
6	3	400
6	5	50
6	7	30
6	8	500
6	9	70
6	10	370
6	11	330
6	13	30
6	15	340
7	1	360
7	2	230
7	3	620
7	4	0
7	5	70
7	7	210
7	9	180
7	11	90
7	12	466.666666666667
7	15	200
8	1	10
8	2	450
8	3	60
8	4	210
8	5	0
8	6	440
8	7	230
8	8	530
9	1	90
9	2	40
9	3	500
9	4	190
9	5	50
9	6	120
10	1	1450
10	2	330
10	3	169
10	4	80
10	5	340
11	1	30
11	2	70
11	3	10
11	4	410
11	5	110
11	6	30
11	7	80
11	8	0
11	9	30
11	10	1110
12	1	250
12	2	50
12	3	70
12	4	20
12	5	130
12	6	140
13	1	0
13	2	320
13	3	140
13	4	310
13	5	210
13	6	410
13	7	1010
13	8	160
13	9	850
13	10	20
14	1	60
14	2	10
14	3	520
14	4	60
14	5	20
14	6	30
15	1	2049
15	2	90
15	3	4280
15	4	8900
15	5	210
16	1	140
16	2	
16	3	1260
16	4	3580
16	5	340
16	6	8000
16	7	30
16	8	30
17	3	90
17	4	360
17	6	260
17	11	370
17	13	140
17	14	1040
17	16	2340
17	21	1210
17	22	3890
17	23	3175
19	1	40
19	2	230
19	3	70
19	4	
19	5	240
19	6	980
19	7	90
19	8	20
19	9	10
19	10	380
20	1	700
20	2	40
20	3	80
20	5	1210
20	6	90
20	7	43.3333333333333
20	9	0
20	10	10
20	13	30
20	14	1280
21	1	660
21	2	
21	3	60
21	4	550
21	5	120
21	6	410
22	1	2980
22	2	7740
22	3	1800
22	4	1110
22	5	1560
22	6	5600
23	1	430
23	2	530
23	3	10
23	4	30
23	5	270
23	6	70
23	7	170
23	8	330
24	1	3450
24	2	240
24	3	570
24	4	1710
24	5	840
24	6	14120
24	7	530
24	8	70
25	8	660
25	10	190
25	11	1565
25	17	310
25	20	540
25	25	430
25	26	1020
25	27	560
25	28	490
25	29	560
25	30	370
26	1	2600
26	2	840
26	3	2570
26	4	3090
26	5	1330
27	1	540
27	2	420
27	3	320
27	4	650
27	5	100
28	2	180
28	3	1290
28	4	1870
28	6	1130
28	8	1620
28	9	100
28	12	1010
28	15	1840
28	16	260
28	25	2560
29	1	1730
29	2	1590
29	3	120
29	4	2790
29	5	240
29	6	2770
29	7	1690
29	8	4800
29	9	
29	10	2580
30	1	700
30	2	360
30	3	110
30	4	110
30	5	220
31	1	60
31	2	150
31	3	470
31	4	40
31	5	220
31	6	230
32	1	1110
32	4	578
32	5	1500
32	7	20
32	8	508
32	9	600
32	10	830
32	11	1820
32	13	520
32	15	1700
33	1	980
33	2	820
33	3	240
33	4	60
33	5	530
33	6	240
33	7	770
33	8	330
34	1	1046
34	2	180
34	3	10
34	4	120
34	5	270
34	6	10
34	7	10
34	8	210
34	11	43.3333333333333
34	14	170
35	1	260
35	2	
35	3	190
35	4	30
35	5	50
35	6	20
35	7	
35	8	1480
35	9	10
35	10	30
36	1	120
36	4	200
36	5	90
36	6	1260
36	7	20
36	9	1100
36	10	910
36	11	320
36	14	720
36	15	1070
37	1	490
37	5	230
37	6	190
37	9	1020
37	10	560
37	11	820
37	13	160
37	15	60
37	28	870
37	30	2600
38	1	30
38	2	20
38	3	260
38	4	1900
38	5	4780
38	6	740
38	7	
38	8	
39	1	380
39	2	10
39	3	10
39	4	1010
39	6	193.333333333333
39	7	560
39	10	890
39	13	20
39	14	370
39	15	2930
