'Plant'	'Type'	'Array'	'# Healthy Seeds'	'Aborted'	'Ovules'	'Additional Comments'	'Predicted Plant #'
26	'W'	1	30	0	6		
26	'W'	3	19	3	1		
26	'W'	3	22	3	0		
26	'W'	3	5	6	17		
26	'W'	3	11	0	17		
20	'W'	6	9	9	3		
20	'W'	6	2	2	17		
20	'W'	3	16	1	2		
20	'W'	3	8	2	0		
20	'W'	3	28	5	1		
20	'W'	3	18	1	1		
20	'W'	6	12	3	4		
5	'W'	3	14	3	5		
5	'W'	2	16	9	2		
5	'W'	6	4	2	18		
5	'W'	6	21	6	1		
5	'W'	6	4	6	15		
5	'W'	3	20	10	0		
5	'W'	7	28	10	1		
20	'W'	1	0	38	1		
3	'W'	4	0	22	5		
24	'W'	3	23	5	2		
3	'W'	3	6	13	4		
5		7	24	12	5		
5		7	18	10	5		
5		7	21	7	2		
5	'T'		3	0	10		
5		8	0	3	22		
16	'W'	1	34	1	1		
16	'W'	3	29	4	0		
16	'W'	3	25	4	2		
16	'W'	3	27	3	2		
16	'W'	3	24	6	2		
16	'W'	6	33	2	1		
16	'W'	6	27	1	2		
75	'W'	13	24	6	4		
75	'W'	13	31	5	1		
75	'W'	13	32	6	1		
75	'W'	25	9	5	24		
75	'W'	25	21	4	7		
75	'W'	17	33	5	1		
75	'W'	30	28	9	3		
75	'W'	30	20	6	12		
75	'W'	34	8	6	21		
75	'W'	38	0	25	1		
75	'W'	38	0	20	0		
75	'W'	34	28	5	1		
75	'W'	37	15	24	0		
75	'W'	22	23	3	8		
88	'W'	28	22	10	4		
43	'W'	34	15	3	10		
43	'W'	22	34	6	0		
43	'W'	9	11	18	1		
43	'W'	9	19	9	0		
43	'W'	34	23	7	0		
88	'W'	23	26	3	8		
88	'W'	23	20	2	11		
88	'W'	23	30	6	4		
88	'W'	23	21	7	7		
88	'W'	23	23	6	8		
88	'W'	25	16	3	15		
88	'W'	19	34	1	1		
88	'W'	19	36	1	0		
88	'W'	19	27	4	3		
88	'W'	19	34	0	3		
'86 (?)'	'W'	16	26	3	2		86
'86 (?)'	'W'	16	24	4	2		86
'86 (?)'	'W'	16	32	0	1		86
88	'W'	28	12	2	9		
88	'W'	28	19	2	3		
88	'W'	28	32	1	0		
88	'W'	28	21	9	3		
88	'W'	29	23	3	10		
88	'W'	34	20	2	10		
88	'W'	36	25	2	3		
88	'W'	36	24	6	2		
88	'W'	36	34	2	1		
88	'W'	38	0	25	4		
88	'W'	38	0	25	2		
'86 (?)'	'W'	25	30	6	2		86
'86 (?)'	'W'	25	36	5	0		86
'86 (?)'	'W'	34	11	17	3		86
'86 (?)'	'W'	36	22	6	3		86
'86 (?)'	'W'	36	27	3	6		86
'86 (?)'	'W'	37	18	11	2		86
81	'T'	14	23	0	0		
'7 (?)'	'T'	17	26	6	2		'70-76'
'7 (?)'	'T'	17	32	3	3		'70-76'
'7 (?)'	'T'	17	31	4	0		'70-76'
'7 (?)'	'T'	13	27	0	0		'70-76'
'7 (?)'	'T'	13	26	1	0		'70-76'
'7 (?)'	'T'	13	23	0	2		'70-76'
	'T_'	12	21	6	0		64
	'T_'	12	16	11	0		64
	'T_'	12	21	5	1		64
	'T_'	12	21	8	0		64
	'T_'	12	14	10	1		64
	'T_'	15	26	5	1		64
	'T_'	15	26	2	0		64
	'T_'	15	24	2	0		64
	'T_'	17	28	4	3		64
	'T_'	17	23	7	0		64
	'T_'	17	26	4	2		64
	'T_'	38	2	22	2		64
	'T_'	38	0	28	2		64
	'T_'	38	3	19	0		64
62	'T'	12	23	7	0		
62	'T'	12	27	1	4		
62	'T'	12	25	2	1		
62	'T'	12	6	2	19		
62	'T'	12	24	3	2		
96	'W'	25	16	13	5		
96	'W'	25	21	3	13		
96	'W'	25	11	3	18		
96	'W'	32	28	4	0		
96	'W'	28	22	6	7		
96	'W'	28	20	3	12		
96	'W'	28	22	7	3		
96	'W'	28	14	10	2		
96	'W'	33	28	4	3		
96	'W'	33	25	2	5		
96	'W'	33	20	6	7		
96	'W'	19	31	8	0		
96	'W'	19	23	10	2		
96	'W'	19	24	3	2		
96	'W'	19	23	8	1		
96	'W'	19	30	14	2		
92	'W'	25	8	10	15		
92	'W'	28	15	10	10		
92	'W'	28	12	15	7		
92	'W'	28	11	3	16		
92	'W'	29	16	8	8		
92	'W'	34	6	5	20		
92	'W'	34	11	10	10		
92	'W'	34	15	16	2		
92	'W'	36	7	12	14		
92	'W'	36	6	17	10		
92	'W'	36	10	14	11		
92	'W'	37	1	7	10		
43	'W'	25	29	4	1		
43	'W'	25	9	2	24		
43	'W'	25	13	1	24		
43	'W'	28	18	6	12		
43	'W'	28	26	5	5		
43	'W'	28	29	4	0		
43	'W'	28	28	4	2		
43	'W'	28	28	1	0		
43	'W'	34	11	20	1		
43	'W'	34	22	8	0		
43	'W'	34	20	7	1		
43	'W'	37	8	6	15		
88	'W'	25	30	5	0		
88	'W'	25	24	8	2		
'86 (?)'	'W'	23	29	2	2		86
'86 (?)'	'W'	23	21	5	8		86
'86 (?)'	'W'	23	19	33	12		86
'86 (?)'	'W'	23	10	1	12		86
'86 (?)'	'W'	23	29	1	0		86
'86 (?)'	'W'	17	25	7	2		86
'86 (?)'	'W'	17	28	3	2		86
'86 (?)'	'W'	17	29	4	1		86
'86 (?)'	'W'	34	0	0	'?'	'Seed pod too small to find seeds/ovules'	86
'86 (?)'	'W'	27	6	3	11		86
'86 (?)'	'W'	36	19	9	0		86
'1?1'	'W'	27	27	1	3		101
'1?1'	'W'	37	8	22	0		101
'1?1'	'W'	28	19	10	7		101
'1?1'	'W'	28	28	4	1		101
'1?1'	'W'	28	33	3	0		101
'1?1'	'W'	28	27	8	2		101
'1?1'	'W'	28	30	2	1		101
'1?1'	'W'	31	34	4	0		101
'1?1'	'W'	31	5	13	9		101
'1?1'	'W'	31	7	20	7		101
'1?1'	'W'	31	9	10	3		101
'1?1'	'W'	33	33	3	1		101
'1?1'	'W'	33	16	0	12		101
'1?1'	'W'	36	24	13	3		101
'1?1'	'W'	36	29	4	2		101
'1?1'	'W'	36	32	3	3		101
75	'W'	38	0	25	0		
75	'W'	30	27	6	5		
75	'W'	30	31	6	1		
75	'W'	34	12	4	16		
75	'W'	34	20	3	13		
75	'W'	36	24	9	2		
75	'W'	36	22	5	3		
75	'W'	36	30	8	2		
75	'W'	17	25	8	3		
75	'W'	17	9	0	26		
'1?1'	'W'	20	16	8	8		101
'1?1'	'W'	25	16	10	3		101
'1?1'	'W'	25	12	3	12		101
'1?1'	'W'	33	15	5	15		101
'1?1'	'W'	25	7	2	19		101
79	'T'	14	25	2	0		
79	'T'	17	19	4	1		
79	'T'	17	28	4	0		
79	'T'	17	22	2	8		
'86 (?)'	'W'	20	31	3	1		86
'86 (?)'	'W'	34	13	12	10		86
'86 (?)'	'W'	34	22	5	5		86
