vial	weight
1	22.043
2	22.522
3	22.109
4	22.266
5	22.636
6	21.882
7	22.275
8	22.291
9	22.124
10	21.961
11	21.860
12	22.589
13	22.200
14	22.360
15	22.157
16	22.106
17	22.465
18	22.171
19	22.037
20	22.310
21	22.373
22	22.506
23	22.542
24	22.289
25	22.006
26	22.226
27	21.956
28	21.801
29	22.083
30	22.233
31	21.918
32	22.208
33	21.865
34	22.195
35	21.902
36	22.061
37	21.994
38	22.076
39	22.189
40	21.906
41	22.253
42	22.066
43	21.930
44	22.296
45	22.313
46	21.838
47	22.008
48	22.573
49	22.421
50	22.287
51	22.808
52	22.341
53	22.121
54	22.214
55	22.037
56	21.887
57	22.016
58	21.769
59	22.010
60	21.771
